Submitted_Headline_1,Prefill_Suggested_Headline_1,Suggested_Headline_1_Option1,Suggested_Headline_1_Option2,Suggested_Headline_1_Option3,Submitted_Headline_2,Prefill_Suggested_Headline_2,Suggested_Headline_2_Option1,Suggested_Headline_2_Option2,Suggested_Headline_2_Option3,Submitted_Description,Prefill_Suggested_Description,Suggested_Description_Option1,Suggested_Description_Option2,Suggested_Description_Option3,Submitted_Path_1,Prefill_Suggested_Path_1,Suggested_Path_1_Option1,Suggested_Path_1_Option2,Suggested_Path_1_Option3,Submitted_Path_2,Prefill_Suggested_Path_2,Suggested_Path_2_Option1,Suggested_Path_2_Option2,Suggested_Path_2_Option3,Submitted_Status,Submitted_Time,Submitted_Writer
""Vente Fiat Marea Occasion"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Annonces Occasion Belgique"",""Van Belgique Occasion"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Les Plus Belles Occasions Se Trouvent sur 2ememain.be - Des Milliers D'Annonces!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Mazda 6 2.2 D Wagon Executive Full Options - Garantie Usine"",""Fiat"",""Fiat_Marea"",""Fiat_Marea"",""NULL"",""Autos"",""Marea"",""Autos"",""Fiat_Marea"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:52:56",amalia.mucciacito
""Vente Fiat Idea Occasion"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Votre Véhicules sur 2ememain"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Chaque Jour de Nouvelles Annonces de Fiat et Autres Marques sur 2ememain.be!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Balançoire Tour Portique Toboggan Zoia Bnb Wood"",""Fiat"",""Fiat_Idea"",""Fiat_Idea"",""NULL"",""Autos"",""Idea"",""Autos"",""Fiat_Idea"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:51:38",amalia.mucciacito
""Vente Superbe Fiat Freemont"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Site Leader Belgique 2ememain"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Consultez le Plus Grand Site de Vente de Véhicules de Seconde Main en Belgique!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Super Promo Chaudiere Neuve Condensation Placement Garantie"",""Fiat"",""Fiat_Freemont"",""Fiat_Freemont"",""NULL"",""Autos"",""Freemont"",""NULL"",""Fiat_Freemont"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:50:01",amalia.mucciacito
""Vente Fiat Fiorino 2ememain"",""Achat 2ememain Van"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Meilleur Site 2ememain.be"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Nouvelles Annonces de Vente Fiat Fiorino Occasion en Bon Etat à Prix Compétitif!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Kit Complet Bloc-Porte Tubulaire Chêne S61"",""Fiat_Fiorino"",""Fiat_Fiorino"",""Fiat_Fiorino"",""NULL"",""Autos"",""Occasion"",""NULL"",""Fiat_Fiorino"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:47:58",amalia.mucciacito
""Achat 2ememain Fiat Doblo"",""Achat 2ememain Van"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Site Leader en Belgique"",""Serrurier 24H24 0483/22/74/42"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Chaque Jour Des Milliers D'Annonces de Véhicules D'Occasion sur 2ememain.be!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Super Promo Chaudiere Neuve Condensation Placement Garantie"",""Fiat"",""Fiat_Doblo"",""Fiat_Doblo"",""NULL"",""Autos"",""Doblo"",""NULL"",""Fiat_Doblo"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:45:01",amalia.mucciacito
""Annonces Fiat Coupe Occasion"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""2ememain.be - Site Leader"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Trouvez ou Vendez Rapidement Votre Fiat Coupe de Seconde Main en Belgique!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Tarot-Médium-Voyance - Cartomancienne-0472913553-Waterloo"",""Fiat_Coupe"",""Fiat_Coupe"",""Fiat_Coupe"",""NULL"",""Autos"",""Occasion"",""NULL"",""Fiat_Coupe"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:43:12",amalia.mucciacito
""Fiat Cinquecento Occasion"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Annonces sur 2ememain.be"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Consultez le Site Leader D'Annonces Occasion en Belgique - Nouvelles Annonces!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Balançoire Tour Portique Toboggan Lucas Bnb Wood"",""Fiat"",""Autos"",""NULL"",""Fiat"",""Autos"",""Cinquecento"",""NULL"",""NULL"",""Fiat"",""Autos"",PendingInternalReview1,"2018-03-06 07:41:29",amalia.mucciacito
""Fiat Brava Belgique Occasion"",""Van Belgique Occasion"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Site Leader Annonces Belgique"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Consultez le Plus Grand Site D'Annonces Vente de Véhicules D'occasion Belgique!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Cloture Rigide Et Portillons Rapport Qualite Prix ++++++++++"",""Fiat_Brava"",""Fiat_Brava"",""Fiat_Brava"",""NULL"",""Autos"",""Autos"",""Autos"",""Fiat_Brava"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:39:05",amalia.mucciacito
""Vente Fiat 126 Occasion"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Annonces Voitures D'Occasion"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Dernières Occasions à Prix Irrésistible sur 2ememain.be - le Site de Référence!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vectra C 1900 Cdti Avec Demande D Immatriculation"",""Fiat_126"",""Fiat_126"",""Fiat_126"",""NULL"",""Autos"",""Occasion"",""NULL"",""Fiat_126"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:38:02",amalia.mucciacito
""Annonces Daewoo Nubira"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""2Ememain.Be Belgique Occasion"",""Van Belgique Occasion"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Vendre et Acheter Votre Véhicule Neuf ou Occasion Rapidement sur 2ememain.be!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Installateur Chauffage Et Sanitaire Complet Expérimenté"",""Daewoo_Nubira"",""Daewoo_Nubira"",""Daewoo_Nubira"",""NULL"",""Autos"",""Autos"",""Autos"",""Daewoo_Nubira"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:35:54",amalia.mucciacito
""Daewoo Matiz Belgique Occasion"",""Van Belgique Occasion"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Annonces Véhicules Occasion"",""Homepage Annonces"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Sur 2Ememain.Be pour Vendre et Acheter Des Articles Neufs et de Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Dispot!! Carrelages Italien 80/80 Imitation Pierre Bleue"",""Daewoo_Matiz"",""Daewoo_Matiz"",""Daewoo_Matiz"",""NULL"",""Autos"",""Autos"",""Autos"",""Daewoo_Matiz"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:33:31",amalia.mucciacito
""Vente Dacia Lodgy Occasion"",""Recherches Fréquentes"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Annonces Voitures D'Occasion"",""Annonces Populaires"",""Achat 2ememain Van"",""Van Belgique Occasion"",""Recherches Fréquentes"",""Vous Trouverez Des Milliers D'annonces de Véhicules Chaque Jour sur 2ememain.be!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Achat 2ememain Van"",""Dacia"",""Dacia_Lodgy"",""Dacia_Lodgy"",""NULL"",""Autos"",""Lodgy"",""Autos"",""Dacia_Lodgy"",""NULL"",""Autos"",PendingInternalReview1,"2018-03-06 07:31:03",amalia.mucciacito
""A la Recherche de 2Ehands Vans"",""Homepage Annonces"",""Achat V�hicule Utilitaire"",""Rendez-Vous sur 2ememain.be"",""Recherches Fréquentes"",""Site Leader 2ememain.be"",""Rendez-Vous sur 2ememain.be"",""Achat V�hicule Utilitaire"",""Rendez-Vous sur 2ememain.be"",""Recherches Fréquentes"",""Des Milliers D'annonces pour Trouver Votre Van D'Occasion sur 2ememain.be!"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""2Ememain.Be | Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""Vendre Et Acheter Des Articles Neufs Et De Seconde Main"",""-----Nouvelles Arrivage Carrelage 60/120-----"",""2Ehands_Vans"",""2Ehands_Vans"",""2Ehands_Vans"",""Autos"",""Van d'occasion?"",""Occasion"",""Autos"",""2Ehands_Vans"",""Autos"",""Van d'occasion?"",PendingInternalReview1,"2018-03-06 07:29:31",amalia.mucciacito
""Vente 2Ehands Vans"",""Rendez-Vous sur 2ememain.be"",""Achat V�hicule Utilitaire"",""Rendez-Vous sur 2ememain.be"",""Page Introuvable"",""Rendez-Vous sur 2ememain.be"",""Page Introuvable"",""Achat V�hicule Utilitaire"",""Rendez-Vous sur 2ememain.be"",""Page Introuvable"",""Découvrez Des Centaines D'annonces de Vente Véhicules Occasion sur 2ememain.be!"",""Page Introuvable (Erreur 404) | 2Ememain.Be"",""Page Introuvable (Erreur 404) | 2Ememain.Be"",""Utilitaires de Seconde Main"",""Achat V�hicule Utilitaire"",""2Ehands_Vans"",""2Ehands_Vans"",""NULL"",""2Ehands_Vans"",""Utilitaires de Seconde Main"",""Belgique"",""NULL"",""NULL"",""2Ehands_Vans"",""Utilitaires de Seconde Main"",PendingInternalReview1,"2018-03-06 07:25:46",amalia.mucciacito
""Pre-Loved Fiction Books"",""Attention Writers:"",""Attention Writers:"",""Filter & Refine"",""Tips & Help"",""Australia's Local Marketplace"",""Filter & Refine"",""Attention Writers:"",""Filter & Refine"",""Tips & Help"",""Good Deals on a Wide Range of Second-Hand Fiction Books on Gumtree. Browse Now."",""Find Fiction Books Ads. Buy And Sell Almost Anything On Gumtree Classifieds."",""Find Fiction Books Ads. Buy And Sell Almost Anything On Gumtree Classifieds."",""Fiction Books | Gumtree Australia Free Local Classifieds"",""1 - 24 Of 14,614 Ads Within Fiction Books"",""Books"",""Wii"",""Wii"",""NULL"",""free"",""Fiction"",""NULL"",""Wii"",""NULL"",""free"",Cancelled,"2018-03-05 22:52:11",tashaclaire.c
""Local Office Spaces Rentals"",""Gumtree Australia"",""Attention Writers:"",""Gumtree Australia"",""Filter & Refine"",""Australia's Local Marketplace"",""Attention Writers:"",""Attention Writers:"",""Gumtree Australia"",""Filter & Refine"",""Office Space Rentals in Your Community. Browse Local Listings on Gumtree Now."",""Office Space For Rent - Gumtree Australia"",""Office Space For Rent - Gumtree Australia"",""1 - 24 Of 3,651 Ads Within Office Space & Commercial"",""Attention Writers:"",""Real-Estate"",""Modem"",""Modem"",""NULL"",""free"",""Office-Space"",""classified_ads"",""Modem"",""NULL"",""free"",Cancelled,"2018-03-05 22:46:20",tashaclaire.c
""Local Parking & Storage"",""Parking & Storage"",""Attention Writers:"",""Parking & Storage"",""Filter & Refine"",""Community Marketplace Listings"",""Attention Writers:"",""Attention Writers:"",""Parking & Storage"",""Filter & Refine"",""Local Listings for Parking & Storage Solutions on Gumtree. Browse Listings Now."",""Find Parking & Storage Ads. Buy And Sell Almost Anything On Gumtree Classifieds."",""Find Parking & Storage Ads. Buy And Sell Almost Anything On Gumtree Classifieds."",""Parking & Storage | Gumtree Australia Free Local Classifieds"",""1 - 24 Of 3,837 Ads Within Parking & Storage"",""Parking"",""Scanner"",""Scanner"",""NULL"",""free"",""Storage"",""NULL"",""Scanner"",""NULL"",""free"",Cancelled,"2018-03-05 22:37:34",tashaclaire.c
""Hire CAD Developers"",""Hire CAD Developers"",""Hire CAD Developers"",""Top Rated Cad Developers"",""How It Works"",""Design Products & Structures"",""Top Rated Cad Developers"",""Hire CAD Developers"",""Top Rated Cad Developers"",""How It Works"",""Create Your Next Project with a Freelance CAD Developer. Hire on Upwork Today!"",""Upwork - Top Rated Cad Developers"",""Hire CAD Developers"",""Upwork - Top Rated Cad Developers"",""Top Rated Cad Developers"",""CAD"",""Cad_Developer"",""Cad_Developer"",""NULL"",""Find"",""Developers"",""Work"",""Cad_Developer"",""NULL"",""Find"",Completed,"2018-03-03 06:50:00",Kristofe
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Completed,"2018-03-02 04:45:11",christo
""18 year old car rental"",""$8.95/Day Car Rentals"",""$8.95/Day Car Rentals"",""Cheap Car Rentals"",""Stop Searching Around for Great Car Rental Deals. Compare & Save In One Search."",""automobile rental"",""Cheap Car Rentals"",""$8.95/Day Car Rentals"",""Cheap Car Rentals"",""Enjoy Big Savings"",""automobile rental automobile rental automobile rental"",""Stop Searching Around for Great Car Rental Deals. Compare & Save In One Search."",""Stop Searching Around for Great Car Rental Deals. Compare & Save In One Search."",""$8.95/Day Car Rentals"",""Cheap Car Rentals"",""Car_Rental"",""car_rental"",""car_rental"",""Cars-Cheap"","""",""Booking"",""booking"",""car_rental"",""Cars-Cheap"","""",Completed,"2018-03-02 04:43:26",christo
""Hire Expert Copywriters"",""Top Rated Copywriters"",""Hire Top Copywriters"",""Top Rated Copywriters"",""How It Works"",""Connect with Your Audience"",""How It Works"",""Hire Top Copywriters"",""Top Rated Copywriters"",""How It Works"",""Create Compelling Marketing that Gets Results. Hire Talented Copywriters Online!"",""Find The Perfect Copywriters For Your Project"",""Find The Perfect Copywriters For Your Project"",""Hire Top Copywriters"",""Upwork - Top Rated Copywriters"",""Copywriters"",""Copy_Writer"",""Copy_Writer"",""NULL"",""Find"",""Freelance"",""Hire"",""Copy_Writer"",""NULL"",""Find"",Completed,"2018-03-02 00:20:12",bcaraff
""Hire Freelance Admins"",""Hire Freelance Admins"",""Hire Freelance Admins"",""How It Works"",""Do More By Doing Less."",""Build Your IT Team"",""How It Works"",""Hire Freelance Admins"",""How It Works"",""Do More By Doing Less."",""Keep Your Systems Running Smoothly with Talented Admins. Connect with Top Pros!"",""Find The Perfect Admins For Your Project"",""Find The Perfect Admins For Your Project"",""Hire Freelance Admins"",""Upwork - Do More By Doing Less."",""Freelance"",""Hire_Admins"",""Hire_Admins"",""NULL"",""Find"",""Admins"",""Work"",""Hire_Admins"",""NULL"",""Find"",Completed,"2018-03-02 00:17:10",bcaraff
""Hire Book Illustrators"",""Top Rated Book Illustrators"",""Hire Book Illustrators"",""Top Rated Book Illustrators"",""How It Works"",""Beautiful Original Artwork"",""How It Works"",""Hire Book Illustrators"",""Top Rated Book Illustrators"",""How It Works"",""Vivid & Evocative Artwork to Accompany Your Writing. Hire Talented Illustrators!"",""Hire Book Illustrators"",""Hire Book Illustrators"",""Upwork - Top Rated Book Illustrators"",""Top Rated Book Illustrators"",""Book"",""NULL"",""Book"",""NULL"",""Find"",""Illustrators"",""Work"",""Book"",""NULL"",""Find"",Completed,"2018-03-02 00:12:36",bcaraff
""Hire Top Proposal Writers"",""Hire Proposal Writers"",""Hire Proposal Writers"",""How It Works"",""Top Rated Proposal Writers"",""Bids, Grants, & More"",""How It Works"",""Hire Proposal Writers"",""How It Works"",""Top Rated Proposal Writers"",""Find Writers Who Specialize in a Variety of Proposal Types. Get Results Today!"",""Find The Perfect Writers For Your Project"",""Find The Perfect Writers For Your Project"",""Hire Proposal Writers"",""Upwork - Top Rated Proposal Writers"",""Proposal"",""NULL"",""Proposal"",""NULL"",""Find"",""Writers"",""Find"",""Proposal"",""NULL"",""Find"",Completed,"2018-03-02 00:11:09",bcaraff
""Hire MATLAB Engineers"",""Hire MATLAB Engineers"",""Hire MATLAB Engineers"",""Top Rated Matlab Engineers"",""How It Works"",""Expert Analysis & Design"",""How It Works"",""Hire MATLAB Engineers"",""Top Rated Matlab Engineers"",""How It Works"",""Develop Your Ideas with the Help of Experienced MATLAB Engineers. Start Today!"",""Top Rated Matlab Engineers"",""Hire MATLAB Engineers"",""Upwork - Top Rated Matlab Engineers"",""Top Rated Matlab Engineers"",""MATLAB"",""NULL"",""Matlab"",""NULL"",""Find"",""Engineers"",""Hire"",""Matlab"",""NULL"",""Find"",Completed,"2018-03-02 00:08:57",bcaraff
